dialogue,summary
"#Person1#: Hi Tom, are you busy tomorrow’s afternoon?
#Person2#: I’m pretty sure I am. What’s up?
#Person1#: Can you go with me to the animal shelter?.
#Person2#: What do you want to do?
#Person1#: I want to get a puppy for my son.
#Person2#: That will make him so happy.
#Person1#: Yeah, we’ve discussed it many times. I think he’s ready now.
#Person2#: That’s good. Raising a dog is a tough issue. Like having a baby;-)
#Person1#: I'll get him one of those little dogs.
#Person2#: One that won't grow up too big;-)
#Person1#: And eat too much;-))
#Person2#: Do you know which one he would like?
#Person1#: Oh, yes, I took him there last Monday. He showed me one that he really liked.
#Person2#: I bet you had to drag him away.
#Person1#: He wanted to take it home right away;-).
#Person2#: I wonder what he'll name it.
#Person1#: He said he’d name it after his dead hamster – Lemmy - he's a great Motorhead fan[HAPPY]))",#Person1# will go to the animal shelter tomorrow to get #Person1# puppy for her son. They already visited the shelter last Monday and the son chose the puppy.
"#Person1#: I’ve just fallen in love with this advent calendar! Awesome! I wanna one for my kids!
#Person2#: I used to get one every year as a child! Loved them!
#Person1#: Yeah, i remember! they were filled with chocolates!
#Person3#: they are different these days! much more sophisticated! Haha!
#Person2#: yeah, they can be fabric/ wooden, shop bought/ homemade, filled with various stuff
#Person1#: what do you fit inside?
#Person3#: small toys, Christmas decorations, creative stuff, hair bands & clips, stickers, pencils & rubbers, small puzzles, sweets
#Person1#: WOW! That’s brill! X
#Person3#: i add one more very special thing as well- little notes asking my children to do something nice for someone else
#Person2#: i like that! My sister adds notes asking her kids questions about christmas such as What did the 3 wise men bring? etc
#Person3#: i reckon it prepares them for Christmas
#Person1#: and makes it more about traditions and being kind to other people
#Person3#: my children get very excited every time they get one!
#Person1#: i can see why![HAPPY]","#Person1# and #Person2# love the advent calendar. #Person3# fits inside calendar various items, for instance, small toys and Christmas decorations. Her children are excited whenever they get the calendar."
"#Person1#: Madison is pregnant
#Person1#: but she doesn't wanna talk about it
#Person2#: why
#Person1#: I don't know why because she doesn't wanna talk about it
#Person2#: ok
#Person1#: I wanted to prepare you for it because people get super excited and ask lots of questions
#Person1#: and she looked way more anxious than excited
#Person2#: she's probably worrying about it
#Person2#: she's taking every commitment really seriously
#Person1#: it could be money problems or relationship problems
#Person2#: or maybe she wants an abortion
#Person1#: it could be all of the above
#Person2#: but you know what?
#Person2#: once my friend was pregnant and I couldn't bring myself to be happy about it
#Person1#: why?
#Person2#: I felt they were immature and I couldn't picture this couple as parents
#Person1#: I felt similar way on Patricia's wedding
#Person2#: Patricia Stevens?
#Person1#: yes
#Person2#: so we're talking about the same person
#Person1#: what a coincidence
#Person1#: so she's pregnant?
#Person2#: she thought she was
#Person1#: damn...",Madison is pregnant but she doesn't want to talk about it. Patricia Stevens got married and she thought she was pregnant.
"#Person1#: have you been at Tom's new place?
#Person2#: yes, it's nice
#Person3#: He invited us for a dinner
#Person4#: where is it?
#Person3#: a bit outside the city
#Person4#: where exactly?
#Person3#: Fiesole
#Person2#: very nice!",Tom's new place is in Fiesole. #Person2# and #Person3# has been there.
"#Person1#: Hello
#Person2#: Hello, how may I help you today?
#Person1#: I would like to make a reservation.
#Person1#: For 6 people, tonight around 20:00
#Person2#: Let me just check.
#Person2#: Ah, I'm afraid that there is no room at 20:00.
#Person2#: However, I could offer you a table for six at 18:30 or at 21:00
#Person2#: Would either of those times suit you?
#Person1#: Oh dear.
#Person1#: Let me just ask my friends.
#Person2#: No problem.
#Person1#: 21:00 will be ok.
#Person2#: Perfect. So tonight at 21:00 for six people under your name.
#Person1#: great, thank you!",#Person1# made a 9 PM reservation for 6 people tonight at #Person2#.
"#Person1#: Howdy, how y'all doin'?
#Person2#: Is that a Texan drawl, girl?
#Person1#: Yes ma'am! Loving it out here!
#Person2#: How's the job going? Kids behaving themselves?
#Person1#: Mostly! They laugh at my accent though!
#Person2#: Well, they probably haven't met a Welsh person before!
#Person1#: No shit! They ask me to repeat everything! Best one is ""Water"", course, it's mostly ""Waarderr"" here!
#Person2#: LOL. I'd love to hear that, you picked up the accent yet?
#Person1#: Nah, 21 years in Cardiff isn't easily removed!
#Person2#: We're missing you here, the pub is quiet these days without your laugh!
#Person1#: Miss you too! I'm coming home in 6 weeks, though. Last fortnight I'm going travelling with 3 other Brits working here, a Geordie girl, a guy from Belfast and Annie, who's from Glasgow.
#Person2#: My God, I'm so jealous! I bet they had even more trouble being understood out there! See you after your trip!","#Person1#'s working in Texas, but the kids laugh at her Welsh accent. She's coming home in 6 weeks. Earlier than that she's going to travel with 3 other Brits."
"#Person1#: got everything?
#Person2#: yeah almost
#Person2#: i'm in dairy section
#Person2#: but can't find this youghurt u wanted
#Person1#: the coconut milk one?
#Person2#: yeah
#Person1#: hmmm yeah that's a mystery. cause it's not dairy but it's yoghurt [LAUGH]
#Person2#: exactly [LAUGH]
#Person2#: ok i asked sb. they put it next to eggs lol
#Person1#: lol",#Person2# can't find the coconut milk yoghurt.
"#Person1#: we need to hurry to catch the tour
#Person2#: ok, am buying something. be right out!
#Person1#: ok. am not waiting long though. missed the last one because of you
#Person2#: just be patient for once.
#Person1#: im always patient
#Person2#: at the register now
#Person1#: alright","#Person2# is shopping, but she needs to hurry up to catch the tour."
"#Person1#: Have you found it?
#Person2#: No! Still looking[SAD]
#Person1#: Check pockets and handbags.
#Person2#: Checked them all twice already...",#Person2# still hasn't found it despite checking pockets and handbags twice.
"#Person1#: What's your favorite b-movie?
#Person2#: um, hard to say. Why do you ask?
#Person3#: Toxic avenger for sure
#Person1#: I have to write an essay and I chose bad movies as my topic and I'm just looking for inspiration
#Person2#: plan 9 from outer space is definitely something worth mentioning
#Person1#: Yeah, I've seen it. And I will also cover ""The Room"". I'm just looking for something a bit more niche
#Person3#: There's Troma Studio for ya - toxic avenger, poultrygeist - the latter is exceptionally awful - and it's a musical
#Person1#: Is it one of those intentionally bad movies?
#Person3#: most definitely
#Person1#: ok, thank you, I'll check it out
#Person2#: oh, there's also jesus christ vampire hunter
#Person1#: what?[LAUGH]
#Person2#: it's even worse than it sounds
#Person3#: and when it comes to more recent movies there are those stupid animal-based horror movies like sharknado or zombeavers
#Person1#: I've heard of sharknado and zombeavers sound just awesome
#Person1#: thanks guys, you helped me a lot[HAPPY]",#Person3# and #Person2# are helping #Person1# think of bad movies for her essay.
